,Year,Month,Area,Mean,Median,Minimum,Maximum,Q1,Q3,Lower Outliers,Upper Outliers
269,2003,9,PR,1.894,1.924,1.583,2.143,1.824,1.993,[],[]
270,2003,10,PR,1.34,1.439,0.595,1.987,1.017,1.713,[],[]
271,2003,11,PR,1.553,1.666,1.071,1.808,1.414,1.805,[],[]
272,2003,12,PR,0.95,1.019,0.575,1.257,0.797,1.138,[],[]
273,2004,1,PR,2.25,0.913,0.761,2.369,0.793,2.369,[],[6.412]
274,2004,2,PR,2.343,2.359,1.508,3.145,2.049,2.653,[],[]
275,2004,3,PR,2.649,2.601,2.313,3.081,2.431,2.819,[],[]
276,2004,4,PR,3.109,3.442,1.953,3.932,2.697,3.687,[],[]
277,2004,5,PR,2.494,2.488,2.444,2.55,2.466,2.519,[],[]
278,2004,6,PR,2.377,2.295,2.1,2.818,2.163,2.509,[],[]
279,2004,7,PR,2.268,2.452,1.854,2.499,2.153,2.475,[],[]
280,2004,8,PR,2.187,2.113,1.781,2.669,1.947,2.391,[],[]
281,2004,9,PR,1.731,1.249,1.167,2.776,1.208,2.013,[],[]
282,2004,10,PR,1.765,1.442,1.389,2.466,1.415,1.954,[],[]
283,2004,11,PR,1.137,1.026,0.904,1.481,0.965,1.254,[],[]
284,2004,12,PR,2.002,2.428,1.84,2.911,1.84,2.59,[0.244],[]
285,2005,1,PR,1.213,1.145,0.239,2.324,0.781,1.577,[],[]
286,2005,2,PR,2.177,2.137,1.852,2.582,1.989,2.325,[],[]
287,2005,3,PR,1.921,1.957,1.365,2.406,1.504,2.374,[],[]
288,2005,4,PR,2.5,2.581,1.482,3.437,2.031,3.009,[],[]
289,2005,5,PR,1.907,1.888,0.98,2.873,1.377,2.418,[],[]
290,2005,6,PR,2.318,2.254,1.739,3.024,1.992,2.58,[],[]
291,2005,7,PR,1.989,1.944,1.322,2.746,1.511,2.422,[],[]
292,2005,8,PR,2.669,2.627,2.43,2.991,2.532,2.764,[],[]
293,2005,9,PR,2.599,2.353,0.976,4.468,1.665,3.411,[],[]
294,2005,10,PR,0.704,0.704,0.538,0.871,0.621,0.788,[],[]
295,2005,11,PR,2.142,2.289,1.086,2.906,1.908,2.523,[],[]
296,2005,12,PR,1.31,1.419,0.646,1.754,1.115,1.614,[],[]
297,2006,1,PR,1.809,1.867,1.396,2.105,1.681,1.995,[],[]
298,2006,2,PR,2.802,3.06,1.703,3.387,2.512,3.35,[],[]
299,2006,3,PR,2.207,2.405,1.387,2.63,2.059,2.553,[],[]
300,2006,4,PR,2.385,2.362,1.52,3.274,1.941,2.818,[],[]
301,2006,5,PR,1.888,1.959,1.448,2.188,1.671,2.176,[],[]
302,2006,6,PR,2.192,2.167,1.945,2.487,1.972,2.387,[],[]
303,2006,7,PR,1.971,1.955,1.785,2.189,1.868,2.059,[],[]
304,2006,8,PR,1.913,1.905,1.713,2.129,1.85,1.967,[],[]
305,2006,9,PR,1.714,1.748,1.422,1.938,1.612,1.85,[],[]
306,2006,10,PR,1.411,1.489,0.94,1.805,1.214,1.647,[],[]
307,2006,11,PR,1.599,1.618,1.067,2.113,1.342,1.866,[],[]
308,2006,12,PR,1.59,1.506,0.494,2.854,1.049,2.047,[],[]
309,2007,1,PR,2.032,2.299,1.242,2.556,1.77,2.427,[],[]
310,2007,2,PR,2.062,2.102,1.757,2.287,1.886,2.278,[],[]
311,2007,3,PR,2.426,2.523,1.851,2.808,2.165,2.785,[],[]
312,2007,4,PR,1.643,1.659,1.272,1.999,1.466,1.829,[],[]
313,2007,5,PR,2.624,2.706,1.638,3.446,2.116,3.213,[],[]
314,2007,6,PR,2.978,2.992,2.389,3.538,2.513,3.457,[],[]
315,2007,7,PR,4.402,3.92,3.028,6.74,3.364,4.959,[],[]
316,2007,8,PR,3.22,2.572,1.731,5.358,2.151,3.965,[],[]
317,2007,9,PR,1.837,1.152,0.709,3.651,0.931,2.401,[],[]
318,2007,10,PR,1.81,1.729,1.488,2.213,1.609,1.971,[],[]
319,2007,11,PR,1.962,2.122,1.637,2.127,1.879,2.125,[],[]
320,2007,12,PR,1.982,1.862,1.166,3.037,1.584,2.261,[],[]
321,2008,1,PR,1.731,1.751,1.419,2.022,1.585,1.886,[],[]
322,2008,2,PR,3.637,3.373,2.184,5.617,2.854,4.156,[],[]
323,2008,3,PR,3.332,3.363,2.242,4.361,2.519,4.176,[],[]
324,2008,4,PR,2.643,2.707,2.533,3.104,2.533,2.817,[2.053],[]
325,2008,5,PR,3.098,3.106,2.897,3.291,3.001,3.199,[],[]
326,2008,6,PR,2.142,2.18,1.888,2.318,2.038,2.284,[],[]
327,2008,7,PR,1.844,1.795,1.624,2.16,1.703,1.936,[],[]
328,2008,8,PR,2.545,2.453,2.226,3.048,2.357,2.64,[],[]
329,2008,9,PR,1.487,1.524,1.27,1.629,1.427,1.584,[],[]
330,2008,10,PR,0.963,0.914,0.204,1.771,0.559,1.342,[],[]
331,2008,11,PR,2.365,2.301,1.869,2.925,2.085,2.613,[],[]
332,2008,12,PR,2.266,2.064,1.842,3.095,1.93,2.401,[],[]
333,2009,1,PR,2.137,2.256,1.185,2.853,1.925,2.468,[],[]
334,2009,2,PR,2.8,3.216,2.499,4.19,2.499,3.517,[0.577],[]
335,2009,3,PR,3.98,4.22,1.722,5.755,3.135,5.065,[],[]
336,2009,4,PR,2.479,2.407,2.376,2.654,2.391,2.53,[],[]
337,2009,5,PR,1.827,1.9,1.492,2.09,1.696,1.995,[],[]
338,2009,6,PR,1.693,1.578,1.471,1.758,1.514,1.758,[],[2.146]
339,2009,7,PR,2.205,2.102,1.729,2.886,1.946,2.361,[],[]
340,2009,8,PR,3.273,3.208,2.451,4.223,2.854,3.627,[],[]
341,2009,9,PR,3.992,3.992,2.168,5.816,3.08,4.904,[],[]
342,2009,10,PR,2.374,2.543,1.406,3.174,1.975,2.859,[],[]
343,2009,11,PR,1.112,0.729,0.221,2.768,0.261,1.58,[],[]
